ISSUERID,ISSUER_NAME,ISSUER_TICKER,ISSUER_CUSIP,ISSUER_SEDOL,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,CSRD_ESRS_S1_ADEQUATE_WAGES_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_ADEQUATE_WAGES_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_CHILD_LABOR_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_CHILD_LABOR_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_SOCIAL_FREEDOM_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_SOCIAL_FREEDOM_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_WORK_LIFE_BALANCE_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_WORK_LIFE_BALANCE_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_EQUAL_OPPTS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S1_EQUAL_OPPTS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S1_FORCED_LABOR_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_FORCED_LABOR_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_GENDER_EQUALITY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_GENDER_EQUALITY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_VIOLENCE_HARASS_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_VIOLENCE_HARASS_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_OTHER_RIGHTS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S1_OTHER_RIGHTS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S1_OWN_WORKFORCE_NEGATIVE_TOPIC,CSRD_ESRS_S1_OWN_WORKFORCE_NEGATIVE_TOPIC_TS,CSRD_ESRS_S1_SECURE_EMPLOYMENT_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S1_SECURE_EMPLOYMENT_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S1_WORKING_CONDITIONS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S1_WORKING_CONDITIONS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S2_CHILD_LABOR_FORCED_LABOR_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_CHILD_LABOR_FORCED_LABOR_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_SECURE_EMPLOYMENT_ADEQUATE_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_SECURE_EMPLOYMENT_ADEQUATE_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_SOCIAL_COLLECTIVE_FREEDOM_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_SOCIAL_COLLECTIVE_FREEDOM_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_WORK_LIFE_BALANCE_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_WORK_LIFE_BALANCE_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_EQUAL_TREAT_OPP_FOR_ALL_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S2_EQUAL_TREAT_OPP_FOR_ALL_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S2_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_GENDER_EQUALITY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S2_GENDER_EQUALITY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S2_OTHER_WORK_RIGHTS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S2_OTHER_WORK_RIGHTS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S2_SUPPLY_CHAIN_NEGATIVE_TOPIC,CSRD_ESRS_S2_SUPPLY_CHAIN_NEGATIVE_TOPIC_TS,CSRD_ESRS_S2_WORKING_CONDITIONS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S2_WORKING_CONDITIONS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S3_ADEQUATE_FOOD_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_ADEQUATE_FOOD_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S3_ADEQUATE_HOUSING_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_ADEQUATE_HOUSING_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S3_COMMUNITIES_NEGATIVE_TOPIC,CSRD_ESRS_S3_COMMUNITIES_NEGATIVE_TOPIC_TS,CSRD_ESRS_S3_COMMUNITIES_POSITIVE_TOPIC,CSRD_ESRS_S3_COMMUNITIES_POSITIVE_TOPIC_TS,CSRD_ESRS_S3_FREE_CONSENT_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_FREE_CONSENT_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S3_FREEDOM_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_FREEDOM_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S3_WATER_LAND_IMPACT_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_WATER_LAND_IMPACT_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S3_COMMUNITIES_RIGHTS_POSITIVE_SUB_TOPIC,CSRD_ESRS_S3_COMMUNITIES_RIGHTS_POSITIVE_SUB_TOPIC_TS,CSRD_ESRS_S3_COMMUNITIES_CIVIL_POLITICAL_RIGHTS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S3_COMMUNITIES_CIVIL_POLITICAL_RIGHTS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S3_COMMUNITIES_CULTURAL_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S3_COMMUNITIES_CULTURAL_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S3_RIGHTS_INDIGENEOUS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S3_RIGHTS_INDIGENEOUS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S3_WATER_SANITATION_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S3_WATER_SANITATION_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_ACCESS_PRODUCT_SERVICES_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_ACCESS_PRODUCT_SERVICES_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_ACCESS_PRODUCTS_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_ACCESS_PRODUCTS_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_QUALITY_INFORMATION_SUB_SUB_TOPIC,CSRD_ESRS_S4_QUALITY_INFORMATION_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_ACESS_QUALITY_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_ACESS_QUALITY_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_HEALTH_SAFETY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_CONSUMERS_NEGATIVE_TOPIC,CSRD_ESRS_S4_CONSUMERS_NEGATIVE_TOPIC_TS,CSRD_ESRS_S4_CONSUMERS_POSITIVE_TOPIC_TS,CSRD_ESRS_S4_CONSUMERS_POSITIVE_TOPIC,CSRD_ESRS_S4_FREEDOM_EXPRESSION_SUB_SUB_TOPIC,CSRD_ESRS_S4_FREEDOM_EXPRESSION_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_HEALTH_SAFETY_POSITIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_HEALTH_SAFETY_POSITIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_INFORM_CONSUMERS_POSITIVE_SUB_TOPIC,CSRD_ESRS_S4_INFORM_CONSUMERS_POSITIVE_SUB_TOPIC_TS,CSRD_ESRS_S4_INFORMATION_CUSTOMERS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S4_INFORMATION_CUSTOMERS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S4_NON_DISCRIMINATION_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_NON_DISCRIMINATION_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_PERSONAL_SAFETY_CONSUMERS_POSITIVE_SUB_TOPIC_TS,CSRD_ESRS_S4_PERSONAL_SAFETY_CONSUMERS_POSITIVE_SUB_TOPIC,CSRD_ESRS_S4_PERSONAL_END_USERS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S4_PERSONAL_END_USERS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S4_PRIVACY_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_PRIVACY_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_PROTECTION_OF_CHILDREN_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_PROTECTION_OF_CHILDREN_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_RESPONSIBLE_MARKETING_NEGATIVE_SUB_SUB_TOPIC,CSRD_ESRS_S4_RESPONSIBLE_MARKETING_NEGATIVE_SUB_SUB_TOPIC_TS,CSRD_ESRS_S4_SOCIAL_INCLUSION_CUSTOMERS_NEGATIVE_SUB_TOPIC,CSRD_ESRS_S4_SOCIAL_INCLUSION_CUSTOMERS_NEGATIVE_SUB_TOPIC_TS,CSRD_ESRS_S4_SOCIAL_CONSUMERS_POSITIVE_SUB_TOPIC,CSRD_ESRS_S4_SOCIAL_CONSUMERS_POSITIVE_SUB_TOPIC_TS
IID000000002123682,"CINEMARK HOLDINGS, INC.",CNK,17243V102,B1W7RQ0,US17243V1026,US,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
IID000000002123684,"SALLY BEAUTY HOLDINGS, INC.",SBH,79546E104,B1GZ005,US79546E1047,US,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
IID000000002123685,CSX Corporation,CSX,126408103,2160753,US1264081035,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
IID000000002123686,Coterra Energy Inc.,CTRA,127097103,2162340,US1270971039,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123689,CTS CORPORATION,CTS,126501105,2239244,US1265011056,US,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123690,Magna International Inc.,MG,559222401,2554475,CA5592224011,CA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
IID000000002123691,THE SCOTTS MIRACLE-GRO COMPANY,SMG,810186106,2781518,US8101861065,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123692,THE GOODYEAR TIRE & RUBBER COMPANY,GT,382550101,2378200,US3825501014,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
IID000000002123695,THE J. M. SMUCKER COMPANY,SJM,832696405,2951452,US8326964058,US,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1
IID000000002123700,THE SOUTHERN COMPANY,SO,842587107,2829601,US8425871071,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
IID000000002123704,"MARTIN MARIETTA MATERIALS, INC.",MLM,573284106,2572079,US5732841060,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123707,"DARDEN RESTAURANTS, INC.",DRI,237194105,2289874,US2371941053,US,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
IID000000002123709,HERC HOLDINGS INC.,HRI,42704L104,BZBZ020,US42704L1044,US,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123710,BCE INC.,BCE,05534B760,B188TH2,CA05534B7604,CA,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0
IID000000002123714,STRYKER CORPORATION,SYK,863667101,2853688,US8636671013,US,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
IID000000002123715,AMPHENOL CORPORATION,APH,032095101,2145084,US0320951017,US,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123716,MURPHY OIL CORPORATION,MUR,626717102,2611206,US6267171022,US,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123721,THE BRINK'S COMPANY,BCO,109696104,2691305,US1096961040,US,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IID000000002123722,JACK IN THE BOX INC.,JACK,466367109,2344922,US4663671091,US,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
IID000000002123723,"VISHAY INTERTECHNOLOGY, INC.",VSH,928298108,2930149,US9282981086,US,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
