ISSUERID,ISSUER_NAME,ISSUER_TICKER,ISSUER_CUSIP,ISSUER_SEDOL,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,HUMAN_RGTS_POL,HUMAN_RGTS_DD,GRIEV_COMPLAIN_PROCEDURE_VALUE,WHISTLEBLOWER_PROTECT_POLICY,SUPPLIER_CODE_KEY_PROVISIONS_VALUE
IID000000002123682,"CINEMARK HOLDINGS, INC.",CNK,17243V102,B1W7RQ0,US17243V1026,US,Not Disclosed,Not Disclosed,Not Disclosed,Yes,Not Disclosed
IID000000002123684,"SALLY BEAUTY HOLDINGS, INC.",SBH,79546E104,B1GZ005,US79546E1047,US,Not Disclosed,Not Disclosed,Yes,Yes,Yes
IID000000002123685,CSX Corporation,CSX,126408103,2160753,US1264081035,US,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123686,Coterra Energy Inc.,CTRA,127097103,2162340,US1270971039,US,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123687,"OIL STATES INTERNATIONAL, INC.",OIS,678026105,2724472,US6780261052,US,Yes,Yes,Yes,Yes,Yes
IID000000002123689,CTS CORPORATION,CTS,126501105,2239244,US1265011056,US,Yes,Yes,Not Disclosed,Yes,Yes
IID000000002123690,Magna International Inc.,MG,559222401,2554475,CA5592224011,CA,Yes,Yes,Yes,Yes,Yes
IID000000002123691,THE SCOTTS MIRACLE-GRO COMPANY,SMG,810186106,2781518,US8101861065,US,Yes,Yes,Yes,Yes,Yes
IID000000002123692,THE GOODYEAR TIRE & RUBBER COMPANY,GT,382550101,2378200,US3825501014,US,Yes,Yes,Yes,Yes,Yes
IID000000002123695,THE J. M. SMUCKER COMPANY,SJM,832696405,2951452,US8326964058,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123698,DOMTAR CORPORATION,PRLXH,70478JAA2,BP393X2,USU7051JAA61,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123700,THE SOUTHERN COMPANY,SO,842587107,2829601,US8425871071,US,Yes,Yes,Not Disclosed,Yes,Yes
IID000000002123703,S&P GLOBAL INC.,SPGI,78409V104,BYV2325,US78409V1044,US,Yes,Yes,Yes,Yes,Yes
IID000000002123704,"MARTIN MARIETTA MATERIALS, INC.",MLM,573284106,2572079,US5732841060,US,Yes,Not Disclosed,Yes,Yes,Not Disclosed
IID000000002123707,"DARDEN RESTAURANTS, INC.",DRI,237194105,2289874,US2371941053,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123709,HERC HOLDINGS INC.,HRI,42704L104,BZBZ020,US42704L1044,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123710,BCE INC.,BCE,05534B760,B188TH2,CA05534B7604,CA,Yes,Yes,Yes,Yes,Yes
IID000000002123714,STRYKER CORPORATION,SYK,863667101,2853688,US8636671013,US,Yes,Yes,Yes,Yes,Yes
IID000000002123715,AMPHENOL CORPORATION,APH,032095101,2145084,US0320951017,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123716,MURPHY OIL CORPORATION,MUR,626717102,2611206,US6267171022,US,Yes,Yes,Yes,Yes,Yes
IID000000002123718,FACTSET RESEARCH SYSTEMS INC.,FDS,303075105,2329770,US3030751057,US,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123719,AFLAC INCORPORATED,AFL,001055102,2026361,US0010551028,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123721,THE BRINK'S COMPANY,BCO,109696104,2691305,US1096961040,US,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123722,JACK IN THE BOX INC.,JACK,466367109,2344922,US4663671091,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123723,"VISHAY INTERTECHNOLOGY, INC.",VSH,928298108,2930149,US9282981086,US,Yes,Yes,Not Disclosed,Yes,Not Disclosed
IID000000002123725,"WINNEBAGO INDUSTRIES, INC.",WGO,974637100,2972721,US9746371007,US,Yes,Yes,Yes,Yes,Yes
IID000000002123728,CELESTICA INC.,CLS,15101Q207,BSCB6L9,CA15101Q2071,CA,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123729,LOUISIANA-PACIFIC CORPORATION,LPX,546347105,2535243,US5463471053,US,Yes,Not Disclosed,Yes,Yes,Yes
IID000000002123730,"Dominion Energy, Inc.",D,25746U109,2542049,US25746U1097,US,Yes,Yes,Yes,Yes,Yes
IID000000002123734,OP Yrityspankki Oyj,OPOSU,,BYN2KG6,XS2556152622,FI,Yes,Yes,Not Disclosed,Not Disclosed,Not Disclosed
IID000000002123735,Power Assets Holdings Limited,6,739197200,6435327,HK0006000050,HK,Yes,Yes,Yes,Yes,Yes
IID000000002123740,PROXIMUS NV,PROX,74428W108,B00D9P6,BE0003810273,BE,Yes,Yes,Not Disclosed,Yes,Yes
IID000000002123741,Koninklijke BAM Groep N.V.,BAMNB,,B12W5Y9,NL0000337319,NL,Yes,Yes,Yes,Yes,Yes
IID000000002123743,BNP PARIBAS SA,BNP,05565A202,7309681,FR0000131104,FR,Yes,Yes,Yes,Yes,Yes
IID000000002123744,ABB Ltd,ABBN,000375204,7108899,CH0012221716,CH,Yes,Yes,Not Disclosed,Yes,Yes
IID000000002123745,ALBANY INTERNATIONAL CORP.,AIN,012348108,2012757,US0123481089,US,Yes,Yes,Yes,Yes,Yes
IID000000002123746,AXA SA,CS,054536107,7088429,FR0000120628,FR,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123748,DIC Corporation,4631,,6250821,JP3493400000,JP,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123750,OTSUKA CORPORATION,4768,,6267058,JP3188200004,JP,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123757,Attijariwafa bank SA,ATW,,BMX3JT1,MA0000012445,MA,Not Disclosed,Not Disclosed,Not Disclosed,Yes,Not Disclosed
IID000000002123759,ARISTOCRAT LEISURE LIMITED,ALL,,6253983,AU000000ALL7,AU,Not Disclosed,Not Disclosed,Not Disclosed,Yes,Yes
IID000000002123767,ASSOCIATED BRITISH FOODS PLC,ABF,045519402,0673123,GB0006731235,GB,Yes,Yes,Yes,Yes,Yes
IID000000002123768,Sichuan Expressway Company Limited,601107,,B3N6W32,CNE100000F38,CN,Not Disclosed,Not Disclosed,Not Disclosed,Yes,Not Disclosed
IID000000002123771,BT GROUP PLC,BT.A,,3091357,GB0030913577,GB,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123776,"Idemitsu Kosan Co.,Ltd.",5019,45166E104,B1FF8P7,JP3142500002,JP,Yes,Yes,Yes,Yes,Yes
IID000000002123777,Toyo Tire Corporation,5105,89232G107,6900182,JP3610600003,JP,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123778,"Nippon Sheet Glass Company, Limited",5202,654616101,6641447,JP3686800008,JP,Yes,Yes,,Yes,
IID000000002123780,"DOWA HOLDINGS CO.,LTD.",5714,,6278306,JP3638600001,JP,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123783,BARRATT REDROW PLC,BTRW,068334101,0081180,GB0000811801,GB,Yes,Yes,Yes,Yes,Yes
IID000000002123799,"ADVANCED MICRO DEVICES, INC.",AMD,007903107,2007849,US0079031078,US,Yes,Yes,Yes,Yes,Yes
IID000000002123802,PIERER Mobility AG,PKTM,,BDCLCM7,AT0000KTMI02,AT,Yes,Not Disclosed,Yes,Yes,Not Disclosed
IID000000002123821,Companhia de Saneamento de Minas Gerais - COPASA MG,CSMG3,,B0YBZJ2,BRCSMGACNOR5,BR,Yes,Not Disclosed,Not Disclosed,Yes,Not Disclosed
IID000000002123827,KAROON ENERGY LTD,KAR,485757108,B00SV00,AU000000KAR6,AU,Yes,Yes,Yes,Yes,Not Disclosed
IID000000002123828,ELECTRA LTD,ELTR,,6298821,IL0007390375,IL,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
IID000000002123835,CAMTEK LTD,CAMT,13469VAA6,2585271,IL0010952641,IL,Not Disclosed,Not Disclosed,Not Disclosed,Yes,Not Disclosed
IID000000002123844,BRUKER CORPORATION,BRKR,116794108,2616137,US1167941087,US,Yes,Not Disclosed,Yes,Yes,Yes
